artist,tags
Bob Dylan,"folk, singer-songwriter, classic rock, folk rock, rock"
Flying Lotus,"electronic, experimental, Hip-Hop, instrumental hip-hop, downtempo"
Sigur Rós,"post-rock, ambient, icelandic, alternative, indie"
Sufjan Stevens,"indie, folk, singer-songwriter, alternative, indie rock"
Lana Del Rey,"female vocalists, indie, indie pop, pop, alternative"
Deerhunter,"shoegaze, experimental, psychedelic, seen live, indie"
The Knife,"electronic, synthpop, swedish, electronica, electro"
Pixies,"alternative, indie, rock, alternative rock, indie rock"
Nirvana,"Grunge, rock, alternative, alternative rock, 90s"
The Strokes,"indie rock, rock, indie, alternative, alternative rock"
Fleet Foxes,"folk, indie, folk rock, indie rock, seen live"
Tool,"Progressive metal, Progressive rock, metal, alternative, rock"
Cat Power,"indie, female vocalists, singer-songwriter, folk, alternative"
Lady Gaga,"pop, dance, electronic, female vocalists, female vocalist"
Brian Eno,"ambient, electronic, experimental, electronica, alternative"
Death Cab for Cutie,"indie, indie rock, alternative, seen live, rock"
MGMT,"electronic, indie, psychedelic, alternative, indie pop"
Belle and Sebastian,"indie, indie pop, alternative, seen live, indie rock"
Bloc Party,"indie, indie rock, seen live, alternative, british"
Kings of Leon,"rock, indie, indie rock, alternative, seen live"
Grouper,"ambient, drone, experimental, shoegaze, dark ambient"
Nick Drake,"folk, singer-songwriter, acoustic, indie, Mellow"
Grizzly Bear,"indie, experimental, folk, seen live, Lo-Fi"
PJ Harvey,"female vocalists, alternative, rock, singer-songwriter, indie"
Mogwai,"post-rock, instrumental, seen live, indie, alternative"
Tame Impala,"Psychedelic Rock, psychedelic, indie rock, seen live, australian"
Cocteau Twins,"dream pop, shoegaze, post-punk, ethereal, alternative"
Slowdive,"shoegaze, dream pop, ambient, indie, shoegazer"
Stars of the Lid,"ambient, drone, post-rock, electronic, instrumental"
Beck,"alternative, indie, rock, singer-songwriter, indie rock"
Gorillaz,"alternative, electronic, Hip-Hop, rock, indie"
Feist,"female vocalists, indie, singer-songwriter, Canadian, indie pop"
Queens of the Stone Age,"Stoner Rock, rock, alternative rock, seen live, hard rock"
Caribou,"electronic, seen live, experimental, indie, Canadian"
Vampire Weekend,"indie, indie rock, indie pop, seen live, alternative"
Apparat,"idm, electronic, ambient, experimental, electronica"
The Shins,"indie, indie rock, indie pop, alternative, seen live"
Fever Ray,"electronic, ambient, swedish, female vocalists, experimental"
Sonic Youth,"alternative, experimental, post-punk, indie, seen live"
Neutral Milk Hotel,"indie, indie rock, folk, Lo-Fi, Elephant 6"
Foals,"indie, math rock, indie rock, british, seen live"
Phoenix,"indie, french, indie pop, seen live, electronic"
James Blake,"dubstep, electronic, experimental, downtempo, soul"
Placebo,"alternative rock, alternative, rock, seen live, indie"
Yeah Yeah Yeahs,"indie, indie rock, female vocalists, alternative, rock"
M83,"electronic, shoegaze, post-rock, indie, electronica"
The Killers,"indie, rock, indie rock, alternative, alternative rock"
Tim Hecker,"ambient, drone, electronic, experimental, glitch"
Red Hot Chili Peppers,"rock, alternative rock, alternative, Funk Rock, funk"
Led Zeppelin,"classic rock, rock, hard rock, 70s, Progressive rock"
Amy Winehouse,"soul, jazz, female vocalists, british, singer-songwriter"
Röyksopp,"electronic, chillout, ambient, electronica, norwegian"
Coil,"industrial, experimental, dark ambient, electronic, ambient"
Kings of Convenience,"indie, acoustic, norwegian, indie pop, Mellow"
Florence + the Machine,"indie, female vocalists, british, alternative, indie pop"
Broken Social Scene,"indie, indie rock, Canadian, seen live, post-rock"
Grimes,"electronic, dream pop, experimental, psychedelic, Canadian"
Moderat,"electronic, idm, seen live, techno, glitch"
Frank Ocean,"rnb, soul, Hip-Hop, r&b, ofwgkta"
LCD Soundsystem,"electronic, indie, seen live, dance, electronica"
Kate Bush,"female vocalists, singer-songwriter, pop, alternative, 80s"
Why?,"indie, Hip-Hop, seen live, experimental, anticon"
The Velvet Underground,"rock, classic rock, psychedelic, proto-punk, alternative"
John Frusciante,"alternative, singer-songwriter, experimental, rock, alternative rock"
Modest Mouse,"indie, indie rock, alternative, rock, seen live"
New Order,"new wave, electronic, post-punk, 80s, alternative"
Blur,"britpop, rock, indie, alternative, british"
Bat for Lashes,"female vocalists, indie, alternative, singer-songwriter, folk"
Joanna Newsom,"folk, singer-songwriter, female vocalists, indie, freak folk"
Four Tet,"electronic, experimental, idm, electronica, instrumental"
Alice in Chains,"Grunge, rock, alternative rock, hard rock, alternative"
Hot Chip,"electronic, seen live, indie, electropop, electronica"
The Black Keys,"blues rock, blues, rock, indie, indie rock"
Nick Cave & the Bad Seeds,"post-punk, rock, alternative, alternative rock, singer-songwriter"
Genesis,"Progressive rock, classic rock, rock, 80s, Progressive"
65daysofstatic,"post-rock, instrumental, experimental, math rock, electronic"
Deftones,"Nu Metal, metal, alternative, alternative rock, rock"
The Rolling Stones,"classic rock, rock, british, 60s, blues"
Leonard Cohen,"singer-songwriter, folk, blues, Canadian, rock"
Metronomy,"electronic, seen live, new rave, experimental, electro"
Pearl Jam,"Grunge, rock, alternative rock, alternative, 90s"
Taylor Swift,"country, pop, female vocalists, singer-songwriter, acoustic"
Britney Spears,"pop, dance, female vocalists, Britney Spears, legend"
Tom Waits,"blues, singer-songwriter, experimental, rock, alternative"
Fleetwood Mac,"classic rock, rock, 70s, blues, pop"
Foo Fighters,"rock, alternative rock, Grunge, alternative, seen live"
Beyoncé,"rnb, pop, female vocalists, soul, Hip-Hop"
Blonde Redhead,"indie, indie rock, seen live, alternative, female vocalists"
Bright Eyes,"indie, singer-songwriter, folk, seen live, indie rock"
alt-J,"indie, electronic, seen live, british, alternative"
Amon Tobin,"electronic, trip-hop, idm, ninja tune, electronica"
CocoRosie,"indie, experimental, female vocalists, folk, freak folk"
Kendrick Lamar,"Hip-Hop, rap, seen live, west coast, compton"
Metric,"indie, indie rock, female vocalists, Canadian, alternative"
The Doors,"classic rock, Psychedelic Rock, rock, psychedelic, 60s"
Neil Young,"classic rock, singer-songwriter, rock, folk, folk rock"
Madonna,"pop, dance, female vocalists, 80s, electronic"
Linkin Park,"rock, Nu Metal, alternative rock, alternative, metal"
Max Richter,"ambient, contemporary classical, neoclassical, Classical, electronic"
Justice,"electronic, electro, french, dance, seen live"
Regina Spektor,"female vocalists, indie, singer-songwriter, piano, alternative"
The Mountain Goats,"indie, folk, Lo-Fi, seen live, singer-songwriter"
Rammstein,"industrial metal, metal, industrial, german, rock"
Paramore,"rock, pop punk, alternative, female vocalists, emo"
Can,"krautrock, experimental, psychedelic, Progressive rock, german"
Frank Zappa,"Progressive rock, experimental, rock, jazz, classic rock"
Metallica,"thrash metal, metal, heavy metal, hard rock, rock"
TV on the Radio,"indie, indie rock, experimental, seen live, alternative"
Andrew Bird,"indie, singer-songwriter, folk, seen live, indie pop"
A Perfect Circle,"alternative rock, Progressive rock, rock, alternative, metal"
Broadcast,"electronic, indie, electronica, indie pop, alternative"
Cut Copy,"electronic, indie, australian, seen live, electro"
Band of Horses,"indie, indie rock, seen live, alternative, Alt-country"
Moby,"electronic, ambient, chillout, alternative, electronica"
Devendra Banhart,"folk, singer-songwriter, indie, freak folk, New Weird America"
The Magnetic Fields,"indie, indie pop, Lo-Fi, indie rock, alternative"
Rihanna,"pop, rnb, female vocalists, dance, Hip-Hop"
Lykke Li,"indie pop, female vocalists, swedish, electronic, pop"
Oasis,"britpop, rock, british, alternative, indie"
Pavement,"indie, indie rock, Lo-Fi, alternative, rock"
Thom Yorke,"electronic, alternative, experimental, indie, singer-songwriter"
Los Campesinos!,"indie pop, indie, seen live, british, indie rock"
Ariel Pink's Haunted Graffiti,"Lo-Fi, experimental, seen live, indie, Avant-Garde"
The Prodigy,"electronic, techno, industrial, dance, seen live"
Goldfrapp,"electronic, trip-hop, female vocalists, electronica, dance"
Yo La Tengo,"indie, indie rock, seen live, alternative, indie pop"
Iron & Wine,"folk, indie, singer-songwriter, acoustic, indie rock"
Porcupine Tree,"Progressive rock, Progressive metal, psychedelic, Progressive, rock"
Clark,"idm, electronic, experimental, Warp, electronica"
The Beach Boys,"classic rock, 60s, pop, Surf, rock"
Faith No More,"alternative rock, rock, alternative, metal, seen live"
of Montreal,"indie, seen live, indie pop, indie rock, alternative"
Miles Davis,"jazz, trumpet, Fusion, bebop, blues"
Low,"slowcore, indie, seen live, indie rock, post-rock"
Washed Out,"chillwave, electronic, Lo-Fi, chillout, seen live"
The Arcade Fire,"indie, indie rock, alternative, Canadian, seen live"
Bibio,"experimental, electronic, ambient, folktronica, folk"
The Radio Dept.,"shoegaze, indie, swedish, indie pop, electronic"
God Is an Astronaut,"post-rock, instrumental, ambient, experimental, post rock"
Zero 7,"chillout, electronic, downtempo, trip-hop, electronica"
Oneohtrix Point Never,"ambient, drone, experimental, electronic, psychedelic"
José González,"acoustic, singer-songwriter, indie, folk, swedish"
Morrissey,"indie, seen live, alternative, british, rock"
Michael Jackson,"pop, 80s, dance, soul, funk"
Death in June,"neofolk, apocalyptic folk, dark folk, industrial, experimental"
Talking Heads,"new wave, post-punk, 80s, rock, alternative"
Brand New,"emo, rock, alternative, seen live, indie"
Explosions in the Sky,"post-rock, instrumental, ambient, experimental, post rock"
Arthur Russell,"Avant-Garde, experimental, Disco, electronic, no wave"
Queen,"classic rock, rock, 80s, hard rock, glam rock"
Drake,"Hip-Hop, rap, rnb, hip hop, Canadian"
Biosphere,"ambient, electronic, experimental, chillout, electronica"
The Weeknd,"rnb, electronic, dubstep, Canadian, prog-rnb"
Laura Marling,"folk, female vocalists, singer-songwriter, indie, acoustic"
The Mars Volta,"Progressive rock, experimental, rock, alternative, seen live"
Real Estate,"Lo-Fi, indie, seen live, surf rock, Surf"
Mount Kimbie,"dubstep, electronic, ambient, experimental, minimal"
Weezer,"rock, alternative, alternative rock, indie, indie rock"
M.I.A.,"Hip-Hop, electronic, female vocalists, dance, indie"
Panda Bear,"experimental, psychedelic, freak folk, indie, folk"
Franz Ferdinand,"indie, indie rock, rock, alternative, seen live"
Thievery Corporation,"chillout, trip-hop, electronic, downtempo, lounge"
Wilco,"Alt-country, indie, seen live, indie rock, alternative"
Bruce Springsteen,"rock, classic rock, singer-songwriter, 80s, folk"
Beastie Boys,"Hip-Hop, rap, alternative, hip hop, seen live"
Tycho,"ambient, electronic, idm, chillout, downtempo"
blink-182,"punk rock, pop punk, punk, rock, alternative"
Adele,"soul, female vocalists, british, singer-songwriter, indie"
Johnny Cash,"country, folk, singer-songwriter, classic rock, rock"
J Dilla,"Hip-Hop, instrumental hip-hop, underground hip-hop, hip hop, Stones throw"
Black Sabbath,"heavy metal, hard rock, classic rock, metal, rock"
Madvillain,"Hip-Hop, underground hip-hop, rap, hip hop, mf doom"
The Postal Service,"indie, electronic, indie pop, alternative, electronica"
AC/DC,"hard rock, classic rock, rock, heavy metal, metal"
John Maus,"Lo-Fi, experimental, Avant-Garde, pop, synthpop"
Sia,"female vocalists, chillout, indie, trip-hop, downtempo"
Yann Tiersen,"instrumental, Soundtrack, french, piano, Classical"
Biffy Clyro,"seen live, alternative rock, rock, alternative, indie"
AFX,"idm, electronic, experimental, ambient, electronica"
Jeff Buckley,"singer-songwriter, rock, alternative, indie, folk"
Dead Can Dance,"ambient, ethereal, darkwave, Gothic, world"
Camera Obscura,"indie pop, indie, female vocalists, Scottish, twee"
Steely Dan,"classic rock, Jazz Rock, rock, 70s, jazz"
DJ Shadow,"trip-hop, electronic, Hip-Hop, turntablism, electronica"
Mac DeMarco,"Lo-Fi, indie, seen live, experimental, post-punk"
Marilyn Manson,"industrial, industrial metal, metal, rock, alternative"
Bonnie 'Prince' Billy,"folk, singer-songwriter, Alt-country, indie, americana"
System of a Down,"metal, alternative metal, rock, Nu Metal, alternative"
Editors,"seen live, indie, indie rock, british, alternative"
Carbon Based Lifeforms,"ambient, chillout, electronic, downtempo, psychill"
Prince,"funk, pop, soul, 80s, rock"
The Smashing Pumpkins,"alternative rock, rock, alternative, Grunge, 90s"
U2,"rock, classic rock, irish, pop, alternative"
Tegan and Sara,"indie, female vocalists, Canadian, indie pop, alternative"
Guided by Voices,"Lo-Fi, indie rock, indie, rock, alternative"
Bob Marley & The Wailers,"reggae, roots reggae, ska, roots, classic rock"
Current 93,"neofolk, apocalyptic folk, experimental, industrial, dark ambient"
Patrick Wolf,"indie, singer-songwriter, seen live, electronic, folk"
Nina Simone,"jazz, soul, female vocalists, blues, vocal jazz"
Green Day,"punk rock, rock, punk, alternative, pop punk"
Ólafur Arnalds,"ambient, instrumental, icelandic, post-rock, Classical"
Two Door Cinema Club,"indie, electronic, british, alternative, seen live"
Death Grips,"Hip-Hop, experimental, experimental rap, rap, experimental hip-hop"
Ladytron,"electronic, Electroclash, electropop, synthpop, electronica"
The Clash,"punk, punk rock, british, rock, classic rock"
Frightened Rabbit,"seen live, indie, Scottish, indie rock, folk"
Katy Perry,"pop, female vocalists, pop rock, indie, rock"
John Mayer,"singer-songwriter, acoustic, rock, pop, Acoustic Rock"
Godspeed You! Black Emperor,"post-rock, instrumental, experimental, ambient, post rock"
The Maccabees,"indie, indie rock, seen live, british, alternative"
R.E.M.,"rock, alternative rock, alternative, indie, seen live"
The Flashbulb,"idm, breakcore, electronic, experimental, electronica"
King Crimson,"Progressive rock, experimental, classic rock, rock, Progressive"
Jimi Hendrix,"classic rock, rock, blues, psychedelic, guitar"
Mumford & Sons,"folk, indie, british, acoustic, seen live"
Toro y Moi,"chillwave, electronic, Lo-Fi, psychedelic, seen live"
Swans,"post-punk, industrial, experimental, noise rock, no wave"
Opeth,"Progressive metal, progressive death metal, death metal, metal, seen live"
The Whitest Boy Alive,"indie, electronic, seen live, indie pop, norwegian"
Klaxons,"new rave, indie, electronic, british, indie rock"
Bombay Bicycle Club,"indie, british, indie rock, seen live, alternative"
Digitalism,"electronic, electro, dance, seen live, german"
Warpaint,"psychedelic, indie, seen live, shoegaze, female vocalists"
A Tribe Called Quest,"Hip-Hop, rap, hip hop, Jazz Hop, funk"
Spoon,"indie, indie rock, seen live, alternative, rock"
Pulp,"britpop, indie, british, alternative, rock"
Antony and the Johnsons,"singer-songwriter, indie, alternative, chamber pop, folk"
Guns N' Roses,"hard rock, rock, classic rock, 80s, metal"
Loscil,"ambient, minimal, electronic, drone, electronica"
Yeasayer,"seen live, experimental, psychedelic, indie, indie rock"
Gas,"ambient, minimal, electronic, experimental, Ambient Techno"
Fiona Apple,"female vocalists, singer-songwriter, alternative, piano, indie"
Jon Hopkins,"ambient, electronic, downtempo, chillout, seen live"
The White Stripes,"rock, alternative, alternative rock, indie, indie rock"
Deerhoof,"experimental, seen live, indie, indie rock, noise rock"
The Chemical Brothers,"electronic, dance, big beat, electronica, techno"
Jack Johnson,"acoustic, singer-songwriter, chill, alternative, rock"
Death from Above 1979,"indie, indie rock, rock, alternative, Canadian"
The Kinks,"classic rock, 60s, rock, british, british invasion"
Eminem,"rap, Hip-Hop, Eminem, hip hop, pop"
Tricky,"trip-hop, electronic, downtempo, trip hop, electronica"
Fugazi,"post-hardcore, punk, indie, hardcore, indie rock"
The Kooks,"indie, indie rock, british, britpop, seen live"
Robyn,"pop, electronic, swedish, female vocalists, seen live"
Lily Allen,"pop, female vocalists, british, britpop, singer-songwriter"
Ellie Goulding,"female vocalists, electronic, british, indie, indie pop"
Jens Lekman,"seen live, swedish, singer-songwriter, indie, indie pop"
Passion Pit,"electronic, indie, indie pop, seen live, pop"
The Cinematic Orchestra,"jazz, electronic, chillout, downtempo, ninja tune"
Paul Kalkbrenner,"minimal, electronic, techno, electro, BPitch Control"
Siouxsie and the Banshees,"post-punk, new wave, 80s, Gothic, goth"
Plaid,"idm, electronic, ambient, electronica, Warp"
Incubus,"alternative rock, rock, alternative, seen live, indie"
Nouvelle Vague,"Bossa Nova, french, female vocalists, chillout, indie"
Nas,"Hip-Hop, rap, hip hop, east coast rap, new york"
Avril Lavigne,"pop, pop rock, rock, female vocalists, Canadian"
Rome,"neofolk, martial industrial, dark folk, apocalyptic folk, industrial"
John Coltrane,"jazz, saxophone, free jazz, bebop, Avant-Garde"
My Chemical Romance,"rock, emo, alternative, punk rock, punk"
Tori Amos,"female vocalists, singer-songwriter, alternative, piano, rock"
The Jesus and Mary Chain,"shoegaze, post-punk, alternative, indie, rock"
Kraftwerk,"electronic, synthpop, german, electronica, electro"
Underworld,"electronic, techno, electronica, dance, trance"
[unknown],"mysterious, mistagged artist, unknown, rock, Soundtrack"
The Horrors,"Garage Rock, indie, seen live, horror punk, british"
Wire,"post-punk, punk, new wave, alternative, Post punk"
Simon & Garfunkel,"folk, classic rock, singer-songwriter, acoustic, rock"
The Fall,"post-punk, new wave, punk, indie, alternative"
Rush,"Progressive rock, classic rock, hard rock, rock, Progressive"
Damien Rice,"singer-songwriter, acoustic, indie, folk, irish"
Tangerine Dream,"electronic, ambient, krautrock, Progressive rock, new age"
Little Dragon,"trip-hop, electronic, female vocalists, chillout, swedish"
Wild Beasts,"seen live, indie rock, indie, british, indie pop"
Dream Theater,"Progressive metal, Progressive rock, metal, Progressive, rock"
Dire Straits,"classic rock, rock, 80s, blues, guitar"
Devo,"new wave, post-punk, 80s, alternative, rock"
The American Dollar,"post-rock, ambient, instrumental, electronic, experimental"
Joni Mitchell,"folk, singer-songwriter, female vocalists, Canadian, acoustic"
Johann Sebastian Bach,"Classical, baroque, instrumental, composers, german"
Actress,"electronic, experimental, idm, techno, dubstep"
Kasabian,"indie, indie rock, british, alternative, rock"
Telefon Tel Aviv,"idm, electronic, ambient, chillout, electronica"
Battles,"math rock, experimental, seen live, post-rock, instrumental"
St. Vincent,"seen live, female vocalists, indie, singer-songwriter, indie pop"
Clint Mansell,"Soundtrack, instrumental, ambient, electronic, Classical"
JAY-Z,"Hip-Hop, rap, hip hop, east coast rap, jay-z"
Empire of the Sun,"electronic, synthpop, australian, electronica, synth pop"
The Libertines,"indie, indie rock, british, rock, alternative"
Morphine,"jazz, alternative, rock, blues, indie"
Squarepusher,"idm, electronic, experimental, electronica, Drum n Bass"
Kurt Vile,"seen live, Lo-Fi, psychedelic, indie, bedroom pop"
Ratatat,"electronic, instrumental, indie, electronica, seen live"
Parov Stelar,"nu-jazz, electronic, downtempo, lounge, jazz"
Xiu Xiu,"experimental, indie, seen live, electronic, post-rock"
Best Coast,"Lo-Fi, indie, seen live, garage pop, female vocalists"
IAMX,"electronic, synthpop, alternative, Electroclash, trip-hop"
Frank Sinatra,"jazz, swing, oldies, vocal jazz, easy listening"
Madlib,"Hip-Hop, jazz, funk, hip hop, rap"
David Sylvian,"ambient, experimental, singer-songwriter, electronic, alternative"
Nils Frahm,"piano, ambient, contemporary classical, modern classical, instrumental"
Booka Shade,"minimal, electronic, House, electro, seen live"
Midlake,"indie, seen live, indie rock, Lo-Fi, alternative"
UNKLE,"trip-hop, electronic, downtempo, alternative, electronica"
Fall Out Boy,"pop punk, rock, emo, alternative, punk"
Mazzy Star,"dream pop, female vocalists, indie, shoegaze, alternative"
Friendly Fires,"electronic, indie, seen live, new rave, indietronica"
The Dillinger Escape Plan,"mathcore, hardcore, experimental, metalcore, seen live"
The New Pornographers,"indie, indie rock, seen live, Canadian, indie pop"
Bill Callahan,"singer-songwriter, folk, Alt-country, seen live, Lo-Fi"
Anathema,"doom metal, Progressive rock, Progressive metal, atmospheric, seen live"
Bohren & der Club of Gore,"jazz, ambient, doom jazz, dark ambient, funeral jazz"
Architecture in Helsinki,"indie, indie pop, australian, seen live, alternative"
Lamb,"trip-hop, electronic, chillout, female vocalists, electronica"
Nightwish,"symphonic metal, Power metal, Gothic Metal, metal, Female fronted metal"
Elbow,"indie, seen live, alternative, indie rock, britpop"
Converge,"hardcore, mathcore, metalcore, chaotic hardcore, seen live"
Vangelis,"electronic, new age, ambient, Soundtrack, instrumental"
Skinny Puppy,"industrial, electronic, ebm, experimental, industrial rock"
Pantha du Prince,"minimal, electronic, minimal techno, techno, seen live"
Venetian Snares,"breakcore, idm, electronic, experimental, electronica"
Kid Cudi,"Hip-Hop, rap, alternative rap, hip hop, House"
Erik Satie,"Classical, piano, Impressionist, french, composers"
Pendulum,"Drum and bass, electronic, Drum n Bass, dnb, seen live"
The Album Leaf,"post-rock, ambient, instrumental, electronic, indie"
ABBA,"pop, Disco, 70s, swedish, 80s"
Morcheeba,"trip-hop, chillout, electronic, downtempo, female vocalists"
Built to Spill,"indie rock, indie, seen live, alternative, rock"
Talk Talk,"new wave, post-rock, 80s, synth pop, pop"
Bob Marley,"reggae, roots reggae, Bob Marley, ska, rock"
Wild Nothing,"dream pop, shoegaze, indie pop, indie, seen live"
The Decemberists,"indie, indie rock, folk, seen live, alternative"
Junior Boys,"electronic, seen live, electropop, electronica, indie"
The Stone Roses,"britpop, indie, madchester, rock, alternative"
Foster the People,"indie, indie pop, alternative, american, seen live"
Wolf Parade,"indie, indie rock, Canadian, seen live, alternative"
Destroyer,"indie, seen live, indie rock, Canadian, singer-songwriter"
Rage Against the Machine,"rock, alternative rock, alternative, political, metal"
Helios,"ambient, electronic, idm, downtempo, electronica"
Archive,"trip-hop, electronic, alternative, Progressive rock, rock"
Grateful Dead,"classic rock, Psychedelic Rock, psychedelic, rock, Jam"
Lorde,"pop, indie pop, electronic, indie, New Zealand"
Scott Walker,"singer-songwriter, experimental, Avant-Garde, baroque pop, pop"
Nosaj Thing,"electronic, glitch-hop, ambient, glitch, seen live"
30 Seconds to Mars,"alternative rock, rock, alternative, emo, indie"
Pet Shop Boys,"synthpop, 80s, pop, electronic, new wave"
Billie Holiday,"jazz, blues, female vocalists, jazz vocal, vocal jazz"
Future Islands,"seen live, new wave, electronic, experimental, synthpop"
Electrelane,"indie, seen live, indie rock, female vocalists, electronic"
Meshuggah,"Progressive metal, math metal, Technical Metal, death metal, metal"
Have a Nice Life,"shoegaze, post-rock, drone, experimental, ambient"
Red House Painters,"slowcore, indie, folk, sadcore, singer-songwriter"
Marvin Gaye,"soul, motown, funk, rhythm and blues, rnb"
The Kills,"Garage Rock, indie rock, indie, alternative, rock"
Groove Armada,"electronic, chillout, House, dance, electronica"
Stars,"indie, indie pop, Canadian, seen live, indie rock"
Iron Maiden,"heavy metal, metal, NWOBHM, seen live, hard rock"
Agalloch,"doom metal, folk metal, black metal, Progressive metal, metal"
Eels,"indie, alternative, rock, indie rock, singer-songwriter"
Mariah Carey,"pop, rnb, female vocalists, soul, Mariah Carey"
La Roux,"electropop, electronic, synthpop, dance, indietronica"
The Field,"electronic, minimal, minimal techno, techno, ambient"
Minus the Bear,"indie, indie rock, seen live, alternative, experimental"
Liars,"experimental, post-punk, seen live, indie, noise"
Stereolab,"electronic, indie, post-rock, alternative, electronica"
CHVRCHES,"synthpop, electronic, electropop, indie, seen live"
Stevie Wonder,"soul, funk, motown, pop, rnb"
iamamiwhoami,"electronic, ambient, experimental, synthpop, swedish"
Atlas Sound,"shoegaze, experimental, psychedelic, ambient, electronic"
Hans Zimmer,"Soundtrack, instrumental, Classical, composer, Soundtracks"
Mastodon,"Progressive metal, metal, Sludge, seen live, sludge metal"
A$AP Rocky,"Hip-Hop, rap, seen live, underground hip-hop, swag"
Final Fantasy,"seen live, indie, Canadian, singer-songwriter, violin"
The War on Drugs,"indie rock, seen live, indie, folk, folk rock"
Mew,"seen live, indie, alternative, indie rock, danish"
Snow Patrol,"indie, alternative, rock, indie rock, britpop"
Okkervil River,"seen live, indie, folk, indie rock, Alt-country"
Chromeo,"electronic, funk, electro, seen live, dance"
Lou Reed,"rock, classic rock, singer-songwriter, glam rock, proto-punk"
MF DOOM,"Hip-Hop, underground hip-hop, rap, hip hop, mf doom"
HTRK,"noise rock, no wave, electronic, shoegaze, noise"
Trentemøller,"electronic, minimal, techno, danish, electronica"
The Twilight Sad,"shoegaze, seen live, indie rock, Scottish, post-rock"
Jimmy Eat World,"rock, alternative, emo, alternative rock, seen live"
Korn,"Nu Metal, metal, alternative, rock, Nu-metal"
Clap Your Hands Say Yeah,"indie, indie rock, seen live, alternative, indie pop"
múm,"icelandic, electronic, ambient, post-rock, experimental"
Katatonia,"doom metal, Progressive metal, depressive rock, Gothic Metal, metal"
Chelsea Wolfe,"experimental, folk, female vocalists, singer-songwriter, Gothic"
Arvo Pärt,"Classical, contemporary classical, minimalism, choral, minimalist"
Bayside,"seen live, emo, rock, alternative, punk"
Calvin Harris,"electronic, dance, electro, Disco, seen live"
Bring Me the Horizon,"deathcore, metalcore, hardcore, screamo, metal"
Smog,"singer-songwriter, Lo-Fi, indie, folk, Alt-country"
Ramones,"punk, punk rock, rock, 70s, classic rock"
The Best Pessimist,"post-rock, ambient, experimental, electronic, piano"
White Lies,"indie rock, seen live, post-punk, british, indie"
Fennesz,"ambient, experimental, electronic, glitch, electronica"
At the Drive-In,"post-hardcore, indie, alternative, rock, emo"
The Flaming Lips,"indie, seen live, alternative, indie rock, rock"
Orbital,"electronic, techno, ambient, electronica, idm"
Suede,"britpop, indie, british, alternative, rock"
Serge Gainsbourg,"french, chanson francaise, chanson, french pop, pop"
Eluvium,"ambient, post-rock, instrumental, experimental, electronic"
Shpongle,"psychedelic, ambient, psytrance, electronic, goa"
Sade,"soul, female vocalists, jazz, chillout, pop"
Local Natives,"indie, indie rock, seen live, folk, indie pop"
The Antlers,"indie, indie rock, slowcore, seen live, singer-songwriter"
Perfume Genius,"singer-songwriter, ambient, experimental, indie, seen live"
Balmorhea,"post-rock, instrumental, ambient, piano, acoustic"
"Tyler, the Creator","Hip-Hop, rap, ofwgkta, underground hip-hop, swag"
Ulrich Schnauss,"ambient, electronic, chillout, idm, electronica"
Sun Kil Moon,"folk, singer-songwriter, indie, indie rock, americana"
FKA twigs,"trip-hop, electronic, experimental, dream pop, art pop"
A Day to Remember,"post-hardcore, hardcore, pop punk, screamo, emocore"
Bauhaus,"post-punk, Gothic Rock, new wave, Gothic, goth"
